X.1,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70+
15 setembre,67.7,88.1,125.4,101.5,95.5,85.3,65.9,76
16 setembre,67.7,93.1,128.4,106.2,96.5,89.4,68.8,78.4
17 setembre,69.5,93.9,127.3,106.3,94.5,91.5,69.2,78.9
18 setembre,82.6,107.9,138.6,118.3,105.6,99.5,77.8,86.4
19 setembre,81.5,107.9,136.5,118.8,104,98.5,76.3,82
20 setembre,83.6,111.1,135.2,121.6,104,98.5,75.4,79.7
21 setembre,94.3,117.2,132.6,120.2,102.8,101.8,77.7,78.2
22 setembre,93.7,119.2,131.3,116.8,99.3,97.4,75.7,75.3
23 setembre,98.3,118.9,127.5,115.5,98.8,92.9,73.8,72.8
24 setembre,96.9,114.1,118.9,111.4,95.6,83.4,71.6,67.6
25 setembre,95.5,112.8,113.6,111.6,95.2,83.4,69.7,65.2
26 setembre,98.8,114.8,114.6,111.7,95.3,83.8,68.6,63.6
27 setembre,98.5,112.4,114.4,110.3,94.6,83.1,69.7,60.9
28 setembre,93.6,114,116.6,114.7,96.8,79.9,72.3,61.2
29 setembre,93.1,120.1,118.9,119,99.8,82.9,71.5,67.3
30 setembre,87.9,123.7,122.5,117.9,102.4,87.4,73.9,72.1
1 octubre,92.9,140.1,133.3,126.6,110.2,97.2,77,76.2
2 octubre,92.6,151,143.3,133.6,115,103,83.5,88.6
3 octubre,90.1,152.1,146.3,134.8,117.3,105.5,85,90.3
4 octubre,88.6,155.2,150.7,137.5,119.4,108.2,84.9,93.4
5 octubre,88.6,166,159.5,140.1,127.4,124,89.9,96.6
6 octubre,90.9,175.4,170.9,150,135.8,135,95.2,97.4
7 octubre,95.2,196.4,184.9,163.3,146.3,141.4,100.8,102.1
8 octubre,96.2,211.6,204,174.4,157.8,155.1,110.1,116.2
9 octubre,104.9,234.3,228.4,190.2,169.7,171.4,118.6,120.2
10 octubre,107.3,243.3,236.5,196.3,178.2,178.6,125.2,125.5
11 octubre,111.6,250.9,244.7,204.1,186.7,185.9,131.7,133.3
12 octubre,100.5,231.7,236,195.1,173.4,174.5,125.8,129.8
13 octubre,109.5,249,263.1,215.9,200.6,203.5,145,144.3
14 octubre,121,273,290.6,237.7,220.5,224.7,161.6,160.5
15 octubre,133.5,293.3,307.8,256.7,236.3,238.3,176.3,169.5
16 octubre,142.3,320.3,326.1,269.8,254,253.7,190.7,179.2
17 octubre,145.7,326.2,339.6,278,262.7,264.8,201.3,185.1
18 octubre,148.7,337.3,344,287,266.9,273,206.9,192
19 octubre,181.7,414.6,407.3,343.9,329.4,329.3,246.1,234.7
20 octubre,204.5,476,435.3,364.2,348.5,341.1,263.5,266.7
21 octubre,222.1,523,464.4,388.7,372.4,367.7,283.9,303.5
22 octubre,235.7,562.8,497,412.1,400.7,392.3,301.8,340.1
23 octubre,246.6,587.3,517.7,433.7,421.5,411.1,319.1,365.3
24 octubre,254.3,602,522.8,443.4,431,415,321,377.4
25 octubre,259.1,606.2,530.9,439.6,435.3,419.9,326.2,381.6
26 octubre,262.9,619.7,537.9,453.9,448.8,432.8,340.5,384.4
27 octubre,265.2,619.7,532.3,456.6,449.3,436.5,348.6,381.7
28 octubre,265.9,606.3,513.6,447.3,446.4,429.6,346.8,369.6
29 octubre,264.9,589,485.9,434.7,429.2,416.5,335,345.5
30 octubre,266.3,584.3,462.1,416.5,421.9,406.8,327.8,338.5
31 octubre,264.7,583.6,457.5,412.4,417.3,408.5,326.4,339.6
1 novembre,262.1,576.4,449.3,412.6,414.4,400.6,319.1,337.3
2 novembre,259.6,563.7,443.4,401.7,406.4,385.7,313.7,341.9
3 novembre,252.9,546.9,424.8,386.8,396.2,380.7,301.5,342.3
4 novembre,243,523.6,404.7,370.1,380.9,368.2,287.1,332.9
5 novembre,239.3,503.6,388.7,350.9,374.8,362.6,286.9,333.5
6 novembre,226.4,479.9,372.1,338.1,356.3,346,277.1,320.3
7 novembre,223.4,468.3,356.7,327.2,344.6,333.9,268.4,317.8
8 novembre,217.9,457.7,346.3,317.8,335,326.6,263.2,306.2
9 novembre,208.5,432.4,308.6,285.1,304.9,308.4,242.7,283.7
10 novembre,196.8,396.8,284.7,264.9,280.6,282.4,229.5,268
11 novembre,185.6,370.9,264.7,246,262.1,265.6,217.8,249.9
12 novembre,167.6,348,245.6,234.4,240.8,245.3,197.9,238.2
13 novembre,157.9,313.3,227.9,218.1,221.6,230.5,179.9,230.9
14 novembre,153.3,301,222.3,210.3,216,223.3,175.6,215.8
15 novembre,150,295.9,218.4,205.5,212.4,216.8,171.4,214.8
16 novembre,142.2,267,201.4,194.9,193.6,195.4,158.6,209.4
17 novembre,130.8,243.2,192.4,182.5,184.7,183.4,144.3,197.8
18 novembre,119.8,223.2,181.4,170.1,174.5,169.5,135.1,196.8
19 novembre,113.7,199.7,168.6,155.7,164.6,160.4,130,184.4
20 novembre,102,184.7,153.6,145.8,154,149.6,124.7,176.8
21 novembre,97.3,177.8,149.5,144.2,147.2,144.6,119.3,173.2
22 novembre,96,175.1,146.9,141.1,144.9,142.7,119.1,169.7
23 novembre,85.7,162,136.6,131.9,131.6,132,106.7,153.6
24 novembre,76.5,144.6,125.5,123.6,119.8,125.3,102.6,148.3
25 novembre,69.4,132.3,116.6,120.2,112.9,119.2,101.6,139.8
26 novembre,64.7,127.8,117.9,117.2,107.9,113.7,98.9,142.2
27 novembre,67.3,119.2,117.6,118.4,109.1,111.2,98.7,139.8
28 novembre,65.1,117.3,117.4,117.7,110.8,110.5,101.2,140.9
29 novembre,65.9,117.2,115.7,118.4,110,109.8,100.7,144.9
30 novembre,67,113,113.8,112.8,111.1,107,100.5,145.7
1 desembre,67.2,113.4,111,112.8,110.5,104,99.9,139.4
2 desembre,69.2,114.4,109.5,112.5,108.1,103.9,96.7,139.6
3 desembre,70.5,112,105.2,110.4,109.5,104.8,96.9,133.1
4 desembre,67.2,114.7,102.5,105.9,104.7,101.7,92,127.6
5 desembre,68.3,116.9,100.4,103.3,103.1,99,89.4,123.1
6 desembre,67.8,115,99,103.2,103.4,99.2,89.2,118.4
7 desembre,62.7,110.3,97.5,101.3,100.2,99,90.5,124.6
8 desembre,51.8,91.7,85,89.3,89.3,88.4,77.4,111.1
9 desembre,56.2,99.5,98.4,99.1,103.4,96.3,82.2,114.9
10 desembre,56.7,107.2,113.1,106,108.8,101.1,89.4,122.6
11 desembre,58.6,113.3,126.7,114.7,118.6,109.4,98.6,129.7
12 desembre,59.6,116.8,132.1,120.2,122.5,114.6,102.3,134.7
13 desembre,59,120.7,138.4,125.9,125.3,117.7,105.6,141
14 desembre,67.1,138,153.6,138.5,140.1,130.3,119.3,146.2
15 desembre,83.2,166.6,180.5,160.4,161.2,151.5,142.8,172.2
16 desembre,85.4,164.6,180.4,161,159.5,154.5,148.5,179.8
17 desembre,88.5,167.6,182.4,168.5,164.9,157.7,148.3,183.5
18 desembre,92.4,174.4,188.4,173.5,168.3,164.7,153.4,188.8
19 desembre,94.5,179.1,191.3,178,171.1,168.7,157,190.5
20 desembre,95.9,180,192.8,177.4,174.2,171.6,159.4,191.4
21 desembre,98.4,186.1,201.1,185.8,180.4,177.2,161.1,195.7
22 desembre,101.5,186.7,208.7,194.8,189.3,182.1,167.9,197.7
23 desembre,105.8,192.9,218.2,201.9,198,190.7,174.1,201.2
24 desembre,110.2,201,219.2,203.2,199.7,198.4,176.3,198.7
25 desembre,98.7,175.6,198,184.3,185.5,182.4,161.7,179.3
26 desembre,98.7,172.6,199.8,183.6,187.4,182.5,160.6,180.5
27 desembre,100.1,175.3,207.5,191.4,191.5,188.8,161.9,180.8
28 desembre,105.1,180.3,222,205.8,207.1,205.8,181.1,195.8
29 desembre,107.4,192.4,243.6,224.5,227.2,224.2,191,208.4
30 desembre,114.4,203.1,266.8,240,239.5,236.1,205.3,220.5
31 desembre,119.2,209.2,288.9,254.9,254,247.3,220,239.2
1 gener,119.8,212.3,291.4,260.5,257,252.5,222.6,242.1
2 gener,121,212.9,305.2,268.2,264.3,265.4,233.8,246.8
3 gener,122.1,215.5,313.3,270.3,269.2,266.2,239.9,255.2
4 gener,123.9,218.6,340.2,285.7,277.8,277.6,245.1,259.6
5 gener,134.4,233.4,354.8,297,280.6,289.5,254.3,267.4
6 gener,113,204.6,322.2,266.2,250.3,262,226,237.3
7 gener,118.3,216.7,345.6,289.2,269.6,285.1,241.7,254.3
8 gener,147.4,268.1,404,337.5,312.1,332,280.7,303.4
9 gener,155,277.5,406.4,340.1,318.3,332.9,278.5,314.8
10 gener,161.4,284,407.1,346.9,318.3,343.2,280.4,318.8
11 gener,180.7,307.8,409.6,351.2,332.9,367.5,294.9,339.1
12 gener,188.7,317.3,411.6,348.3,330.7,372.1,306.4,353.8
13 gener,218.3,360.6,451.1,386.2,363.3,409.1,343.8,393.7
14 gener,220.8,360.5,429.5,370.9,350,397,335.4,380.7
15 gener,221.8,351.1,407.4,359.1,341.5,387.8,330.4,369.8
16 gener,222.6,353.1,398.9,357.9,337.4,387.5,335.5,370.5
17 gener,222.4,350.4,393.1,347.2,337.6,379,335.1,367.6
18 gener,221.2,341.4,369.7,340,330.9,357.8,326.1,360.2
