Data,Velocitat de propagació (Rt),Rt = 1
1 juny,0.83,1
2 juny,0.79,1
3 juny,0.76,1
4 juny,0.76,1
5 juny,0.78,1
6 juny,0.85,1
7 juny,0.91,1
8 juny,0.94,1
9 juny,0.96,1
10 juny,0.97,1
11 juny,0.96,1
12 juny,0.93,1
13 juny,0.87,1
14 juny,0.81,1
15 juny,0.79,1
16 juny,0.8,1
17 juny,0.82,1
18 juny,0.88,1
19 juny,0.95,1
20 juny,1.02,1
21 juny,1.05,1
22 juny,1.09,1
23 juny,1.14,1
24 juny,1.17,1
25 juny,1.2,1
26 juny,1.27,1
27 juny,1.33,1
28 juny,1.37,1
29 juny,1.43,1
30 juny,1.48,1
1 juliol,1.58,1
2 juliol,1.63,1
3 juliol,1.69,1
4 juliol,1.68,1
5 juliol,1.69,1
6 juliol,1.65,1
7 juliol,1.64,1
8 juliol,1.64,1
9 juliol,1.72,1
10 juliol,1.78,1
11 juliol,1.82,1
12 juliol,1.83,1
13 juliol,1.84,1
14 juliol,1.82,1
15 juliol,1.8,1
16 juliol,1.74,1
17 juliol,1.68,1
18 juliol,1.64,1
19 juliol,1.62,1
20 juliol,1.6,1
21 juliol,1.57,1
22 juliol,1.53,1
23 juliol,1.46,1
24 juliol,1.34,1
25 juliol,1.23,1
26 juliol,1.18,1
27 juliol,1.13,1
28 juliol,1.09,1
29 juliol,1.07,1
30 juliol,1.05,1
31 juliol,1.05,1
1 agost,1.06,1
2 agost,1.06,1
3 agost,1.05,1
4 agost,1.05,1
5 agost,1.03,1
6 agost,1.02,1
7 agost,0.99,1
8 agost,1,1
9 agost,1.01,1
10 agost,1.03,1
11 agost,1.04,1
12 agost,1.06,1
13 agost,1.08,1
14 agost,1.09,1
15 agost,1.09,1
16 agost,1.1,1
17 agost,1.1,1
18 agost,1.1,1
19 agost,1.11,1
20 agost,1.12,1
21 agost,1.14,1
22 agost,1.16,1
23 agost,1.16,1
24 agost,1.16,1
25 agost,1.15,1
26 agost,1.14,1
27 agost,1.13,1
28 agost,1.1,1
29 agost,1.07,1
30 agost,1.05,1
31 agost,1.04,1
1 setembre,1.03,1
2 setembre,1.01,1
3 setembre,0.99,1
4 setembre,0.98,1
5 setembre,0.99,1
6 setembre,0.99,1
7 setembre,1,1
8 setembre,1.01,1
9 setembre,1.02,1
10 setembre,1.02,1
11 setembre,0.98,1
12 setembre,0.95,1
13 setembre,0.93,1
14 setembre,0.93,1
15 setembre,0.94,1
16 setembre,1,1
17 setembre,1.08,1
18 setembre,1.25,1
19 setembre,1.28,1
20 setembre,1.31,1
21 setembre,1.3,1
22 setembre,1.29,1
23 setembre,1.23,1
24 setembre,1.15,1
25 setembre,0.99,1
26 setembre,0.96,1
27 setembre,0.95,1
28 setembre,0.96,1
29 setembre,0.98,1
30 setembre,1.02,1
1 octubre,1.1,1
2 octubre,1.19,1
3 octubre,1.26,1
4 octubre,1.29,1
5 octubre,1.31,1
6 octubre,1.32,1
7 octubre,1.33,1
8 octubre,1.34,1
9 octubre,1.4,1
10 octubre,1.45,1
11 octubre,1.48,1
12 octubre,1.46,1
13 octubre,1.43,1
14 octubre,1.41,1
15 octubre,1.41,1
16 octubre,1.36,1
17 octubre,1.46,1
18 octubre,1.48,1
19 octubre,1.54,1
20 octubre,1.57,1
21 octubre,1.62,1
22 octubre,1.63,1
23 octubre,1.63,1
24 octubre,1.48,1
25 octubre,1.41,1
26 octubre,1.36,1
27 octubre,1.31,1
28 octubre,1.24,1
29 octubre,1.15,1
30 octubre,1.05,1
31 octubre,0.99,1
1 novembre,0.97,1
2 novembre,0.95,1
3 novembre,0.95,1
4 novembre,0.95,1
5 novembre,0.94,1
6 novembre,0.92,1
7 novembre,0.9,1
8 novembre,0.88,1
9 novembre,0.86,1
10 novembre,0.84,1
11 novembre,0.81,1
12 novembre,0.79,1
13 novembre,0.77,1
14 novembre,0.77,1
15 novembre,0.77,1
16 novembre,0.77,1
17 novembre,0.77,1
18 novembre,0.78,1
19 novembre,0.79,1
20 novembre,0.8,1
21 novembre,0.79,1
22 novembre,0.79,1
23 novembre,0.78,1
24 novembre,0.78,1
25 novembre,0.79,1
26 novembre,0.81,1
27 novembre,0.87,1
28 novembre,0.92,1
29 novembre,0.95,1
30 novembre,0.97,1
1 desembre,0.99,1
2 desembre,1.01,1
3 desembre,1.02,1
4 desembre,1,1
5 desembre,0.99,1
6 desembre,0.98,1
7 desembre,0.98,1
8 desembre,0.94,1
9 desembre,0.94,1
10 desembre,0.97,1
11 desembre,1.14,1
12 desembre,1.25,1
13 desembre,1.36,1
14 desembre,1.43,1
15 desembre,1.53,1
16 desembre,1.56,1
17 desembre,1.56,1
18 desembre,1.45,1
19 desembre,1.38,1
20 desembre,1.28,1
21 desembre,1.24,1
22 desembre,1.2,1
23 desembre,1.21,1
24 desembre,1.21,1
25 desembre,1.13,1
26 desembre,1.07,1
27 desembre,1.03,1
28 desembre,1.03,1
29 desembre,1.06,1
30 desembre,1.15,1
31 desembre,1.32,1
1 gener,1.49,1
2 gener,1.51,1
3 gener,1.51,1
4 gener,1.5,1
5 gener,1.47,1
6 gener,1.38,1
7 gener,1.26,1
8 gener,1.25,1
9 gener,1.31,1
10 gener,1.36,1
11 gener,1.39,1
12 gener,1.42,1
13 gener,1.43,1
14 gener,1.34,1
15 gener,1.18,1
16 gener,1.12,1
17 gener,1.09,1
18 gener,1.04,1
19 gener,0.99,1
20 gener,0.95,1
21 gener,0.96,1
22 gener,0.97,1
23 gener,0.98,1
24 gener,0.98,1
25 gener,0.98,1
26 gener,0.97,1
27 gener,0.96,1
28 gener,0.95,1
29 gener,0.95,1
30 gener,0.95,1
31 gener,0.94,1
1 febrer,0.94,1
2 febrer,0.93,1
3 febrer,0.91,1
4 febrer,0.89,1
5 febrer,0.86,1
6 febrer,0.84,1
7 febrer,0.83,1
8 febrer,0.83,1
9 febrer,0.83,1
10 febrer,0.82,1
11 febrer,0.83,1
12 febrer,0.84,1
13 febrer,0.86,1
14 febrer,0.87,1
15 febrer,0.88,1
16 febrer,0.91,1
17 febrer,0.94,1
18 febrer,0.98,1
19 febrer,1.02,1
20 febrer,1.04,1
21 febrer,1.05,1
22 febrer,1.05,1
23 febrer,1.03,1
24 febrer,1.02,1
25 febrer,0.99,1
26 febrer,0.97,1
27 febrer,0.95,1
28 febrer,0.95,1
1 març,0.95,1
2 març,0.95,1
3 març,0.95,1
4 març,0.96,1
5 març,0.95,1
6 març,0.95,1
7 març,0.95,1
8 març,0.95,1
9 març,0.95,1
10 març,0.96,1
11 març,0.97,1
12 març,0.99,1
13 març,1.01,1
14 març,1.03,1
15 març,1.05,1
16 març,1.07,1
17 març,1.09,1
18 març,1.11,1
19 març,1.13,1
20 març,1.14,1
21 març,1.13,1
22 març,1.13,1
23 març,1.14,1
24 març,1.15,1
25 març,1.17,1
26 març,1.21,1
27 març,1.23,1
28 març,1.24,1
29 març,1.24,1
30 març,1.23,1
31 març,1.2,1
1 abril,1.15,1
2 abril,1.04,1
3 abril,0.97,1
4 abril,0.94,1
5 abril,0.91,1
6 abril,0.91,1
7 abril,0.94,1
8 abril,1.06,1
9 abril,1.23,1
10 abril,1.35,1
11 abril,1.39,1
12 abril,1.42,1
13 abril,1.4,1
14 abril,1.35,1
15 abril,1.22,1
16 abril,1.1,1
17 abril,1.01,1
18 abril,0.99,1
19 abril,0.98,1
20 abril,1,1
21 abril,1.02,1
22 abril,1.04,1
23 abril,1.05,1
24 abril,1.06,1
25 abril,1.06,1
26 abril,1.07,1
27 abril,1.06,1
28 abril,1.06,1
29 abril,1.04,1
30 abril,1.01,1
1 maig,0.97,1
2 maig,0.95,1
3 maig,0.93,1
4 maig,0.92,1
5 maig,0.9,1
6 maig,0.88,1
7 maig,0.87,1
8 maig,0.87,1
9 maig,0.86,1
10 maig,0.85,1
11 maig,0.83,1
12 maig,0.82,1
13 maig,0.79,1
14 maig,0.77,1
15 maig,0.76,1
16 maig,0.76,1
17 maig,0.77,1
18 maig,0.8,1
19 maig,0.84,1
20 maig,0.89,1
21 maig,0.95,1
22 maig,0.98,1
23 maig,0.99,1
24 maig,0.98,1
25 maig,0.97,1
26 maig,0.97,1
27 maig,0.98,1
28 maig,1,1
29 maig,1.05,1
30 maig,1.06,1
31 maig,1.07,1
1 juny,1.06,1
2 juny,1.05,1
3 juny,1.01,1
4 juny,0.97,1
5 juny,0.93,1
6 juny,0.93,1
7 juny,0.93,1
8 juny,0.95,1
9 juny,0.96,1
10 juny,0.97,1
11 juny,0.97,1
12 juny,0.96,1
13 juny,0.95,1
14 juny,0.95,1
15 juny,0.95,1
16 juny,0.98,1
17 juny,1.03,1
18 juny,1.11,1
19 juny,1.16,1
20 juny,1.19,1
21 juny,1.22,1
22 juny,1.26,1
23 juny,1.31,1
24 juny,1.34,1
25 juny,1.42,1
26 juny,1.48,1
27 juny,1.6,1
28 juny,1.77,1
29 juny,2.13,1
30 juny,2.56,1
1 juliol,3.04,1
2 juliol,3.35,1
3 juliol,3.42,1
4 juliol,3.36,1
5 juliol,3.21,1
