Codi	Municipi	BIG	QRA
250019	Abella de la Conca	11.532	2.774
80018	Abrera	23.956	5.349
250024	Àger	15.089	4.259
250030	Agramunt	19.767	5.074
80023	Aguilar de Segarra	20.527	6.078
170010	Agullana	24.994	7.687
80142	Aiguafreda	22.638	5.495
430017	Aiguamúrcia	19.104	4.662
170025	Aiguaviva	27.407	7.175
250387	Aitona	14.731	4.275
250045	Alamús, els	19.723	5.278
250058	Alàs i Cerc	20.146	5.981
250061	Albagés, l'	12.153	3.227
170031	Albanyà	18.351	5.163
250077	Albatàrrec	17.423	4.094
250083	Albesa	17.222	4.279
250096	Albi, l'	15.906	4.010
430022	Albinyana	17.705	3.976
430038	Albiol, l'	24.345	5.957
170046	Albons	23.393	6.527
430043	Alcanar	15.317	4.397
250100	Alcanó	14.408	3.747
250117	Alcarràs	16.312	3.982
250122	Alcoletge	18.807	4.098
430056	Alcover	19.932	4.827
439044	Aldea, l'	15.062	3.824
430069	Aldover	15.965	3.928
430075	Aleixar, l'	18.647	4.771
80039	Alella	38.495	14.253
430081	Alfara de Carles	12.637	4.154
250138	Alfarràs	15.931	4.254
250143	Alfés	17.202	4.581
430094	Alforja	18.396	4.383
250156	Algerri	13.868	3.342
250169	Alguaire	18.642	4.570
250175	Alins	14.799	3.265
430108	Alió	19.938	4.896
250194	Almacelles	18.001	4.983
250208	Almatret	16.580	3.558
250215	Almenar	17.209	4.464
430115	Almoster	30.382	8.562
250220	Alòs de Balaguer	20.834	4.769
170062	Alp	22.112	5.905
80044	Alpens	23.504	5.812
250236	Alpicat	27.849	7.870
250241	Alt Àneu	20.769	5.863
430120	Altafulla	29.377	8.852
170078	Amer	21.877	5.250
430136	Ametlla de Mar, l'	18.676	5.180
80057	Ametlla del Vallès, l'	32.737	10.489
439060	Ampolla, l'	19.846	5.172
430141	Amposta	16.695	4.476
170084	Anglès	19.984	4.360
250273	Anglesola	18.948	5.489
250292	Arbeca	15.030	3.974
430167	Arboç, l'	19.343	4.404
430154	Arbolí	18.819	5.361
